ID,Tamaño,Arribo,Irrupcion
1,80,0,100000000
2,300,1,3.6
2,200,1,6
2,facundo es mi nombre,1,12
2,000120,1,4
2,0,1,holis
3,30,100000000,3
1,80,0,10
2,120,0,4
3,-50,5,8
4,150,10,5
5,200,10,15
6,90,10,12
7,10,10,2
8,0,10,5
9,150,25,10
10,30,30,1
11,80,35,1.5
1,60,40,7
12,100,45,6
13,40,50,9
14,180,60,3
15,75,65,11
16,25000,70,2
17,100,10001,5
18,110,80,7
19,50,85,
20,100,0,5
21,40,2,12
22,150,1,7
23,60,1,11
24,90,1,3
25,180,1,18
26,200,1,6
27,70,1,9
28,130,1,4
29,10,2,1
30,"""""",22,10
31,55,25,8
32,110,30,6
33,100,35,0
